SNV;Index;BR;UF;initial(km);final(km);Extension(km);LOTE;Address_of_SNV_in_network
060GO393358;1049;60;GO;393.36;388.03;5.33;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\145_060GO393358
060GO464275;1050;60;GO;393.18;464.28;71.10;1;\Videos\Recebidos\2020\Lote1\1102\10_08_2020\146_060GO464275
060GO464503;1051;60;GO;464.50;393.36;71.14;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\147_060GO464503
060GO465180;1052;60;GO;464.28;465.18;0.90;1;\Videos\Recebidos\2020\Lote1\1102\10_08_2020\148_060GO465180
060GO465423;1053;60;GO;465.42;464.50;0.92;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\149_060GO465423
060GO469995;1054;60;GO;465.18;470.00;4.82;1;\Videos\Recebidos\2020\Lote1\1102\10_08_2020\150_060GO469995
060GO470233;1055;60;GO;470.23;465.42;4.81;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\151_060GO470233
060GO473025;1056;60;GO;470.00;473.03;3.03;1;\Videos\Recebidos\2020\Lote1\1102\10_08_2020\152_060GO473025
060GO473304;1057;60;GO;473.30;470.23;3.07;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\153_060GO473304
060GO478320;1058;60;GO;473.03;478.32;5.29;1;\Videos\Recebidos\2020\Lote1\1102\10_08_2020\154_060GO478320
060GO478590;1059;60;GO;478.59;473.30;5.29;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\155_060GO478590
060GO478691;1060;60;GO;478.32;478.69;0.37;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\156_060GO478691
060GO478965;1061;60;GO;478.97;478.59;0.38;1;\Videos\Recebidos\2020\Lote1\1102\06_08_2020\157_060GO478965
060GO512676;1063;60;GO;512.45;512.68;0.23;1;\Videos\Recebidos\2020\Lote1\1102\05_08_2020\159_060GO512676
060GO512725;1062;60;GO;512.73;478.97;33.76;1;\Videos\Recebidos\2020\Lote1\1102\05_08_2020\158_060GO512725
060GO512950;1064;60;GO;512.95;512.73;0.22;1;\Videos\Recebidos\2020\Lote1\1102\05_08_2020\160_060GO512950
060MS010893;1509;60;MS;10.89;0.00;10.89;1;\Videos\Recebidos\2020\Lote1\1104\25_09_2020\0_060MS010893
060MS011001;1510;60;MS;10.89;11.00;0.11;1;\Videos\Recebidos\2020\Lote1\1104\25_09_2020\1_060MS011001
060MS011140;1511;60;MS;11.14;10.89;0.25;1;\Videos\Recebidos\2020\Lote1\1104\25_09_2020\2_060MS011140
060MS011241;1512;60;MS;11.00;11.24;0.24;1;\Videos\Recebidos\2020\Lote1\1104\25_09_2020\3_060MS011241
060MS011278;1513;60;MS;11.28;11.14;0.14;1;\Videos\Recebidos\2020\Lote1\1104\25_09_2020\4_060MS011278
060MS038207;1514;60;MS;38.21;11.28;26.93;1;\Videos\Recebidos\2020\Lote1\1104\25_09_2020\5_060MS038207
060MS041416;1515;60;MS;41.42;38.21;3.21;1;\Videos\Recebidos\2020\Lote1\1104\25_09_2020\6_060MS041416
060MS061862;1516;60;MS;61.86;41.42;20.44;1;\Videos\Recebidos\2020\Lote1\1104\25_09_2020\7_060MS061862
060MS091030;1517;60;MS;91.03;61.86;29.17;1;\Videos\Recebidos\2020\Lote1\1104\21_09_2020\8_060MS091030
060MS098820;1518;60;MS;98.82;91.03;7.79;1;\Videos\Recebidos\2020\Lote1\1104\21_09_2020\9_060MS098820
060MS169011;1519;60;MS;169.01;98.82;70.19;1;\Videos\Recebidos\2020\Lote1\1104\25_09_2020\10_060MS169011
060MS191569;1520;60;MS;191.57;169.01;22.56;1;\Videos\Recebidos\2020\Lote1\1104\21_09_2020\11_060MS191569
060MS197096;1521;60;MS;197.10;191.57;5.53;1;\Videos\Recebidos\2020\Lote1\1104\21_09_2020\12_060MS197096
060MS204918;1522;60;MS;204.92;197.10;7.82;1;\Videos\Recebidos\2020\Lote1\1104\21_09_2020\13_060MS204918
060MS214175;1523;60;MS;214.18;204.92;9.26;1;\Videos\Recebidos\2020\Lote1\1104\21_09_2020\14_060MS214175
060MS241903;1524;60;MS;241.90;214.18;27.72;1;\Videos\Recebidos\2020\Lote1\1104\20_09_2020\15_060MS241903
060MS344048;1616;60;MS;344.05;348.17;4.12;1;\Videos\Recebidos\2020\Lote1\1104\23_08_2020\107_060MS344048
060MS348062;1617;60;MS;348.06;344.05;4.01;1;\Videos\Recebidos\2020\Lote1\1104\23_08_2020\108_060MS348062
060MS348171;1618;60;MS;348.17;355.98;7.81;1;\Videos\Recebidos\2020\Lote1\1104\23_08_2020\109_060MS348171
060MS361167;1525;60;MS;361.17;355.84;5.33;1;\Videos\Recebidos\2020\Lote1\1104\20_09_2020\16_060MS361167
060MS361462;1526;60;MS;361.13;361.46;0.33;1;\Videos\Recebidos\2020\Lote1\1104\20_09_2020\17_060MS361462
060MS361486;1527;60;MS;361.49;361.17;0.32;1;\Videos\Recebidos\2020\Lote1\1104\20_09_2020\18_060MS361486
060MS368091;1528;60;MS;368.09;361.49;6.60;1;\Videos\Recebidos\2020\Lote1\1104\20_09_2020\19_060MS368091
060MS414751;1529;60;MS;414.75;368.09;46.66;1;\Videos\Recebidos\2020\Lote1\1104\20_09_2020\20_060MS414751
060MS424868;1530;60;MS;424.87;414.75;10.12;1;\Videos\Recebidos\2020\Lote1\1104\19_09_2020\21_060MS424868
060MS427013;1531;60;MS;424.84;427.01;2.17;1;\Videos\Recebidos\2020\Lote1\1104\19_09_2020\22_060MS427013
060MS427043;1532;60;MS;427.04;424.87;2.17;1;\Videos\Recebidos\2020\Lote1\1104\19_09_2020\23_060MS427043
060MS427557;1533;60;MS;427.01;427.56;0.55;1;\Videos\Recebidos\2020\Lote1\1104\19_09_2020\24_060MS427557
060MS427581;1534;60;MS;427.58;427.04;0.54;1;\Videos\Recebidos\2020\Lote1\1104\19_09_2020\25_060MS427581
060MS431615;1535;60;MS;431.62;427.58;4.04;1;\Videos\Recebidos\2020\Lote1\1104\19_09_2020\26_060MS431615
060MS479994;1536;60;MS;479.99;431.62;48.37;1;\Videos\Recebidos\2020\Lote1\1104\19_09_2020\27_060MS479994
060MS503410;1537;60;MS;503.41;479.99;23.42;1;\Videos\Recebidos\2020\Lote1\1104\19_09_2020\28_060MS503410
060MS538759;1538;60;MS;538.76;503.41;35.35;1;\Videos\Recebidos\2020\Lote1\1104\19_09_2020\29_060MS538759
060MS539647;1539;60;MS;539.65;538.76;0.89;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\30_060MS539647
060MS542695;1540;60;MS;542.70;539.65;3.05;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\31_060MS542695
060MS542856;1541;60;MS;542.67;542.86;0.19;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\32_060MS542856
060MS542897;1542;60;MS;542.90;542.70;0.20;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\33_060MS542897
060MS543070;1543;60;MS;542.86;543.07;0.21;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\34_060MS543070
060MS543097;1544;60;MS;543.10;542.90;0.20;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\35_060MS543097
060MS580701;1545;60;MS;580.70;543.10;37.60;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\36_060MS580701
060MS584702;1546;60;MS;584.70;580.70;4.00;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\37_060MS584702
060MS588319;1548;60;MS;588.32;584.70;3.62;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\39_060MS588319
060MS588330;1547;60;MS;584.68;588.33;3.65;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\38_060MS588330
060MS588541;1549;60;MS;588.33;588.54;0.21;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\40_060MS588541
060MS588574;1550;60;MS;588.57;588.32;0.25;1;\Videos\Recebidos\2020\Lote1\1104\18_09_2020\41_060MS588574
060MS592359;1551;60;MS;592.36;588.57;3.79;1;\Videos\Recebidos\2020\Lote1\1104\17_09_2020\42_060MS592359
060MS630996;1552;60;MS;631.00;592.36;38.64;1;\Videos\Recebidos\2020\Lote1\1104\17_09_2020\43_060MS630996
060MS670441;1553;60;MS;670.44;631.00;39.44;1;\Videos\Recebidos\2020\Lote1\1104\17_09_2020\44_060MS670441
060MS675051;1554;60;MS;675.05;670.44;4.61;1;\Videos\Recebidos\2020\Lote1\1104\17_09_2020\45_060MS675051
060MS678884;1555;60;MS;678.88;675.05;3.83;1;\Videos\Recebidos\2020\Lote1\1104\17_09_2020\46_060MS678884
060MS680067;1556;60;MS;678.85;680.07;1.22;1;\Videos\Recebidos\2020\Lote1\1104\17_09_2020\47_060MS680067
060MS680086;1557;60;MS;680.09;678.88;1.21;1;\Videos\Recebidos\2020\Lote1\1104\17_09_2020\48_060MS680086
060MS680868;1558;60;MS;680.87;680.09;0.78;1;\Videos\Recebidos\2020\Lote1\1104\17_09_2020\49_060MS680868
070DF000000;240;70;DF;0.00;8.80;8.80;1;\Videos\Recebidos\2020\Lote1\1100\17_07_2020\29_070DF000000
070DF008795;242;70;DF;8.80;13.67;4.87;1;\Videos\Recebidos\2020\Lote1\1100\17_07_2020\31_070DF008795
070DF008820;241;70;DF;8.82;0.00;8.82;1;\Videos\Recebidos\2020\Lote1\1100\17_07_2020\30_070DF008820
070DF013665;244;70;DF;13.67;16.30;2.63;1;\Videos\Recebidos\2020\Lote1\1100\17_07_2020\33_070DF013665
070DF013690;243;70;DF;13.69;8.82;4.87;1;\Videos\Recebidos\2020\Lote1\1100\17_07_2020\32_070DF013690
070DF016295;246;70;DF;16.30;20.59;4.29;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\35_070DF016295
070DF016313;245;70;DF;16.31;13.69;2.62;1;\Videos\Recebidos\2020\Lote1\1100\17_07_2020\34_070DF016313
070DF020641;247;70;DF;20.64;16.30;4.34;1;\Videos\Recebidos\2020\Lote1\1100\17_07_2020\36_070DF020641
070GO000000;248;70;GO;0.00;5.27;5.27;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\37_070GO000000
070GO005247;249;70;GO;5.25;0.00;5.25;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\38_070GO005247
070GO005273;250;70;GO;5.27;15.73;10.46;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\39_070GO005273
070GO007925;1559;70;GO;7.93;4.00;3.93;1;\Videos\Recebidos\2020\Lote1\1104\29_09_2020\50_070GO007925
070GO015690;251;70;GO;15.69;5.25;10.44;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\40_070GO015690
070GO015726;252;70;GO;15.73;21.87;6.14;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\41_070GO015726
070GO021868;253;70;GO;21.87;24.82;2.95;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\42_070GO021868
070GO024767;254;70;GO;24.77;21.83;2.94;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\43_070GO024767
070GO024818;255;70;GO;24.82;39.24;14.42;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\44_070GO024818
070GO039239;256;70;GO;39.24;40.91;1.67;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\45_070GO039239
070GO040853;257;70;GO;40.85;39.19;1.66;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\46_070GO040853
070GO040907;258;70;GO;40.91;65.14;24.23;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\47_070GO040907
070GO065137;259;70;GO;65.14;69.80;4.66;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\48_070GO065137
070GO069797;260;70;GO;69.80;65.14;4.66;1;\Videos\Recebidos\2020\Lote1\1100\24_07_2020\49_070GO069797
070GO167700;261;70;GO;167.70;187.80;20.10;1;\Videos\Recebidos\2020\Lote1\1100\27_07_2020\50_070GO167700
070GO187800;262;70;GO;187.80;191.45;3.65;1;\Videos\Recebidos\2020\Lote1\1100\27_07_2020\51_070GO187800
070GO191451;263;70;GO;191.45;192.05;0.60;1;\Videos\Recebidos\2020\Lote1\1100\27_07_2020\52_070GO191451
070GO192007;264;70;GO;192.01;191.40;0.61;1;\Videos\Recebidos\2020\Lote1\1100\27_07_2020\53_070GO192007
070GO290952;265;70;GO;290.95;317.36;26.41;1;\Videos\Recebidos\2020\Lote1\1100\27_07_2020\54_070GO290952
070GO317362;266;70;GO;317.36;319.54;2.18;1;\Videos\Recebidos\2020\Lote1\1100\27_07_2020\55_070GO317362
070GO319492;267;70;GO;319.49;317.32;2.17;1;\Videos\Recebidos\2020\Lote1\1100\27_07_2020\56_070GO319492
070GO319544;268;70;GO;319.54;320.86;1.32;1;\Videos\Recebidos\2020\Lote1\1100\27_07_2020\57_070GO319544
070GO320822;269;70;GO;320.82;319.49;1.33;1;\Videos\Recebidos\2020\Lote1\1100\27_07_2020\58_070GO320822
070GO320860;270;70;GO;320.86;340.96;20.10;1;\Videos\Recebidos\2020\Lote1\1100\28_07_2020\59_070GO320860
070GO340955;271;70;GO;340.96;357.30;16.34;1;\Videos\Recebidos\2020\Lote1\1100\28_07_2020\60_070GO340955
070GO357295;272;70;GO;357.30;375.18;17.88;1;\Videos\Recebidos\2020\Lote1\1100\28_07_2020\61_070GO357295
070GO375182;273;70;GO;375.18;424.64;49.46;1;\Videos\Recebidos\2020\Lote1\1100\28_07_2020\62_070GO375182
070GO424637;274;70;GO;424.64;472.80;48.16;1;\Videos\Recebidos\2020\Lote1\1100\28_07_2020\63_070GO424637
070GO472802;275;70;GO;472.80;474.06;1.26;1;\Videos\Recebidos\2020\Lote1\1100\28_07_2020\64_070GO472802
070GO474060;276;70;GO;474.06;476.16;2.10;1;\Videos\Recebidos\2020\Lote1\1100\28_07_2020\65_070GO474060
070GO476127;277;70;GO;476.13;474.02;2.11;1;\Videos\Recebidos\2020\Lote1\1100\28_07_2020\66_070GO476127
070MT000000;627;70;MT;0.00;2.56;2.56;1;\Videos\Recebidos\2020\Lote1\1101\29_07_2020\38_070MT000000
